Update: [2013/12/05 12:01:38 (5.793938563)]
625] c0      1 Bluetooth: HCI device and connection manager initialized
<6>[    1.266137] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3d4 = 0x0
<6>[    1.266351] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3d5 = 0x0
<6>[    1.266595] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3d6 = 0x0
<6>[    1.266839] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3d7 = 0x0
<6>[    1.267175] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3c8 = 0x2
<6>[    1.267419] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3c9 = 0x2
<6>[    1.267633] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3ca = 0x10
<6>[    1.267877] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3cb = 0x11
<6>[    1.268121] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3cc = 0x11
<6>[    1.268365] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3a0 = 0x0
<6>[    1.268609] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3a1 = 0x5d
<6>[    1.268853] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3a2 = 0x8
<6>[    1.269098] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3cd = 0x30
<6>[    1.269342] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3ce = 0x88
<6>[    1.269586] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3c0 = 0x6c
<6>[    1.269830] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3c1 = 0x95
<6>[    1.270074] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3c2 = 0x50
<6>[    1.270288] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3c3 = 0x14
<6>[    1.270532] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3c4 = 0xfb
<6>[    1.270776] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3c5 = 0xf4
<6>[    1.271020] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3c6 = 0x91
<6>[    1.271265] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP addr 0x3c7 = 0xaa
<6>[    1.271295] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP valid layer = 0
<6>[    1.271326] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP Module vendor = 0x2
<6>[    1.271356] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP LENS = 0x2
<6>[    1.271356] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP Sensor Version = 0x10
<6>[    1.271387] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP Driver IC Vendor & Version = 0x11
<6>[    1.271417] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP Actuator vender ID & Version = 0x11
<6>[    1.271448] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP fuse 0 = 0x0
<6>[    1.271478] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP fuse 1 = 0x0
<6>[    1.271478] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP fuse 2 = 0x5d
<6>[    1.271509] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP fuse 3 = 0x8
<6>[    1.271539] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP BAIS Calibration data = 0x30
<6>[    1.271570] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP OFFSET Calibration data = 0x88
<6>[    1.271600] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP VCM bottom mech. Limit (MSByte) = 0x6c
<6>[    1.271600] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP VCM bottom mech. Limit (LSByte) = 0x95
<6>[    1.271631] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP Infinity position code (MSByte) = 0x50
<6>[    1.271661] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP Infinity position code (LSByte) = 0x14
<6>[    1.271692] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP Macro position code (MSByte) = 0xfb
<6>[    1.271722] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP Macro position code (LSByte) = 0xf4
<6>[    1.271753] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP VCM top mech. Limit (MSByte) = 0x91
<6>[    1.271783] c0      1 [CAM] vd6869_read_fuseid_liteon: OTP VCM top mech. Limit (LSByte) = 0xaa
<6>[    1.271967] c0      1 [CAM] vd6869_shut_down_otp shut down OTP success 0x4584:0x0
<6>[    1.272150] c0      1 [CAM] vd6869_shut_down_otp shut down OTP success 0x44c0:0x0
<6>[    1.272333] c0      1 [CAM] vd6869_shut_down_otp shut down OTP success 0x4500:0x0
<6>[    1.272607] c0      1 [CAM] msm_sensor_match_id: msm_sensor id: 0x365,expect sensor_id=0x365
<6>[    1.272852] c0      1 [CAM] msm_actuator_probe: actuator_info->board_info->type=lc898212_act
<6>[    1.272882] c0      1 [CAM] msm_actuator_probe: actuator_info->board_info->addr=0x11
<6>[    1.273309] c0      1 [CAM] msm_sensor_register mctl_node_name[0] = video1
<6>[    1.273340] c0      1 [CAM] vd6869_power_down called
<6>[    1.273370] c0      1 [CAM] msm_sensor_set_power_down: called 1795
<6>[    1.275446] c0      1 dlp_china_vd6869_vreg_off
<6>[    1.275476] c0      1 dlp_china_vd6869_vreg_off: CAM_PIN_GPIO_MCAM_D1V2_EN off (0)
<6>[    1.286006] c0      1 dlp_china_vd6869_vreg_off: 8921_lvs4 off (0)
<6>[    1.306546] c0      1 dlp_china_vd6869_vreg_off: 8921_l8 off (0)
<6>[    1.316587] c0      1 dlp_china_vd6869_vreg_off: CAM_PIN_GPIO_V_CAM2_D1V8 off (0)
<6>[    1.318113] c0      1 dlp_china_vd6869_vreg_off: 8921_l9 off (0)
<6>[    1.318144] c0      1 [CAM] YushanII_power_down
<6>[    1.319182] c0      1 dlp_china_rawchip_vreg_off
<6>[    1.319212] c0      1 dlp_china_rawchip_vreg_off: CAM_PIN_PMGPIO_V_RAW_1V2_EN off (0)
<6>[    1.320280] c0      1 dlp_china_rawchip_vreg_off: CAM_PIN_PMGPIO_V_RAW_1V8_EN off (0)
<6>[    1.321349] c0      1 [CAM] msm_camio_config_gpio_table: no cam gpio config table
<6>[    1.321379] c0      1 [CAM] vd6869_sysfs_init: vd6869:kobject creat and add
<6>[    1.321410] c0      1 [CAM] vd6869:sysfs_create_file
<6>[    1.321471] c0      1 [CAM] vd6869_i2c_probe: rc(0)
<6>[    1.321562] c0      1 [CAM] msm_sensor_init_module
<6>[    1.321715] c0      1 [CAM] ov2722 msm_sensor_init_module
<6>[    1.321806] c0      1 [CAM] ov2722_i2c_probe
<6>[    1.321806] c0      1 [CAM] msm_sensor_i2c_probe: sensor_i2c_probe called - name: ov2722
<6>[    1.321837] c0      1 [CAM] msm_camio_probe_on_bootup: sinfo sensor name - ov2722
<6>[    1.321867] c0      1 [CAM] msm_camio_probe_on_bootup: camio_clk m(24000000) v(228570000)
<6>[    1.321928] c0      1 [CAM] msm_camio_config_gpio_table: no cam gpio config table
<6>[    1.321959] c0      1 [CAM] YushanII_probe_init
<6>[    1.321959] c0      1 dlp_china_rawchip_vreg_on
<6>[    1.321989] c0      1 dlp_china_rawchip_vreg_on: CAM_PIN_PMGPIO_V_RAW_1V8_EN (0)
<6>[    1.323027] c0      1 dlp_china_rawchip_vreg_on: CAM_PIN_PMGPIO_V_RAW_1V2_EN (0)
<6>[    1.324095] c0      1 [CAM] msm_camio_clk_enable: clk(c0d4b020) obj.name:4-0036
<6>[    1.325927] c1     27 hub_port_wait_reset: portstatus = 0x00000503 portchange = 0x00000000
<6>[    1.328948] c0      1 [CAM] YushanII_match_id, YushanII id: 0x4100110c requested id: 0x4100110c
<6>[    1.328979] c0      1 [CAM] YushanII_probe_init: probe_success
<6>[    1.329009] c0      1 [CAM] msm_sensor_i2c_probe rawhchip probe init success
<6>[    1.329009] c0      1 [CAM] msm_sensor_i2c_probe: update htc_image to 1
<6>[    1.329040] c0      1 dlp_china_yushanii_probed htc_image 1
<6>[    1.329070] c0      1 update_yushanII_flag() , htc_image=1
<6>[    1.329101] c0      1 [CAM] ov2722_power_up
<6>[    1.329101] c0      1 dlp_china_ov2722_vreg_on
<6>[    1.329131] c0      1 dlp_china_ov2722_vreg_on: CAM_PIN_GPIO_CAM2_RSTz (0)
<6>[    1.331176] c0      1 check_yushanII_flag() , With yushanII
<6>[    1.331207] c0      1 dlp_china_ov2722_vreg_on: CAM_PIN_GPIO_V_CAM2_D1V8 (0)
<3>[    1.386052] c1     27 usb 1-1: hub_port_init[3165] hub_port_reset retval:0
<6>[    1.386082] c1     27 usb 1-1: new high-speed USB device number 2 using msm_hsic_host
<4>[    1.391362] c0      1 8921_lvs4: Failed to create debugfs directory
<6>[    1.391851] c0      1 dlp_china_ov2722_vreg_on: 8921_lvs4 1800000 (0)
<3>[    1.395971] c1     27 usb 1-1: hub_port_init[3324] hub_set_address devnum:2 retval:0
<4>[    1.396947] c0      1 8921_l8: Failed to create debugfs directory
<6>[    1.397558] c0      1 dlp_china_ov2722_vreg_on: 8921_l8 2800000 (0)
<6>[    1.402594] c0      1 dlp_china_ov2722_vreg_on: CAM_PIN_GPIO_CAM2_RSTz (0)
<6>[    1.411139] c0      1 [CAM] ov2722_power_up end
<6>[    1.411414] c0      1 [CAM] msm_sensor_match_id: msm_sensor id: 0x2722,expect sensor_id=0x2722
<6>[    1.411475] c0      1 [CAM] msm_actuator_probe: probe failed
<6>[    1.411811] c0      1 [CAM] msm_sensor_register mctl_node_name[1] = video3
<6>[    1.411841] c0      1 [CAM] ov2722_power_down
<6>[    1.411872] c0      1 dlp_china_ov2722_vreg_off
<6>[    1.412360] c0      1 dlp_china_ov2722_vreg_off: 8921_l8 off (0)
<6>[    1.422859] c0      1 dlp_china_ov2722_vreg_off: 8921_lvs4 off (0)
<3>[    1.423042] c1     27 usb 1-1: hub_port_init[3359] usb_get_device_descriptor retval:8
<6>[    1.442911] c0      1 dlp_china_ov2722_vreg_off: CAM_PIN_GPIO_V_CAM2_D1V8 off (0)
<6>[    1.443979] c0      1 check_yushanII_flag() , With yushanII
<6>[    1.444010] c0      1 [CAM] YushanII_power_down
<6>[    1.445048] c0      1 dlp_china_rawchip_vreg_off
<6>[    1.445078] c0      1 dlp_china_rawchip_vreg_off: CAM_PIN_PMGPIO_V_RAW_1V2_EN off (0)
<6>[    1.446116] c0      1 dlp_china_rawchip_vreg_off: CAM_PIN_PMGPIO_V_RAW_1V8_EN off (0)
<6>[    1.447215] c0      1 [CAM] msm_camio_config_gpio_table: no cam gpio config table
<6>[    1.447245] c0      1 [CAM] ov2722:kobject creat and add
<6>[    1.447276] c0      1 [CAM] ov2722:sysfs_create_file
<6>[    1.447306] c0      1 [CAM] ov2722_i2c_probe: rc(0)
<6>[    1.450389] c0      1 [swfa] swfa_init: SW-MM-A-2013-0314-1600-v0001
<6>[    1.452037] c0      1 ion_client_create: create ion_client (wfd) at de721fc0
<6>[    1.453166] c0      1 [BATT][CCADC] r_sense=10
<3>[    1.455211] c0      1 pm8xxx_adc_probe: failed to request pa_therm vreg with error -517
<6>[    1.455272] c0      1 dlp_dtu_pm8xxx_adc_device_register: Register PM8XXX ADC device. rev: 128
<6>[    1.456035] c0      1 [CABLE] usb_id_detect_init: id pin 158
<6>[    1.456126] c0      1 [CABLE] dlp_dtu_config_usb_id_gpios: 7 input none pull
<6>[    1.457286] c0      1 [THERMAL] thermal_sys: thermal_zone0: Current temperature (41 C)
<6>[    1.457317] c0      1 [THERMAL] thermal_sys: trip_temp:-61, type:3
<6>[    1.457347] c0      1 [THERMAL] thermal_sys: trip_temp:202, type:4
<6>[    1.457378] c0      1 [THERMAL] thermal_sys: trip_temp:34, type:5
<6>[    1.457408] c0      1 [THERMAL] thermal_sys: trip_temp:-61, type:6
<6>[    1.457775] c0      1 [THERMAL] thermal_sys: thermal_zone1: Current temperature (42 C)
<6>[    1.457805] c0      1 [THERMAL] thermal_sys: trip_temp:-89, type:3
<6>[    1.457836] c0      1 [THERMAL] thermal_sys: trip_temp:173, type:4
<6>[    1.457866] c0      1 [THERMAL] thermal_sys: trip_temp:5, type:5
<6>[    1.457897] c0      1 [THERMAL] thermal_sys: trip_temp:-89, type:6
<6>[    1.458263] c0      1 [THERMAL] thermal_sys: thermal_zone2: Current temperature (39 C)
<6>[    1.458293] c0      1 [THERMAL] thermal_sys: trip_temp:-76, type:3
<6>[    1.458293] c0      1 [THERMAL] thermal_sys: trip_temp:181, type:4
<6>[    1.458324] c0      1 [THERMAL] thermal_sys: trip_temp:16, type:5
<6>[    1.458354] c0      1 [THERMAL] thermal_sys: trip_temp:-76, type:6
<6>[    1.458721] c0      1 [THERMAL] thermal_sys: thermal_zone3: Current temperature (42 C)
<6>[    1.458751] c0      1 [THERMAL] thermal_sys: trip_temp:-91, type:3
<6>[    1.458782] c0      1 [THERMAL] thermal_sys: trip_temp:171, type:4
<6>[    1.458812] c0      1 [THERMAL] thermal_sys: trip_temp:3, type:5
<6>[    1.458843] c0      1 [THERMAL] thermal_sys: trip_temp:-91, type:6
<6>[    1.459179] c0      1 [THERMAL] thermal_sys: thermal_zone4: Current temperature (41 C)
<6>[    1.459209] c0      1 [THERMAL] thermal_sys: trip_temp:-86, type:3
<6>[    1.459240] c0      1 [THERMAL] thermal_sys: trip_temp:162, type:4
<6>[    1.459270] c0      1 [THERMAL] thermal_sys: trip_temp:3, type:5
<6>[    1.459301] c0      1 [THERMAL] thermal_sys: trip_temp:-86, type:6
<6>[    1.459667] c0      1 [THERMAL] thermal_sys: thermal_zone5: Current temperature (41 C)
<6>[    1.459697] c0      1 [THERMAL] thermal_sys: trip_temp:-81, type:3
<6>[    1.459728] c0      1 [THERMAL] thermal_sys: trip_temp:172, type:4
<6>[    1.459728] c0      1 [THERMAL] thermal_sys: trip_temp:10, type:5
<6>[    1.459758] c0      1 [THERMAL] thermal_sys: trip_temp:-81, type:6
<6>[    1.460155] c0      1 [THERMAL] thermal_sys: thermal_zone6: Current temperature (41 C)
<6>[    1.460186] c0      1 [THERMAL] thermal_sys: trip_temp:-88, type:3
<6>[    1.460216] c0      1 [THERMAL] thermal_sys: trip_temp:165, type:4
<6>[    1.460247] c0      1 [THERMAL] thermal_sys: trip_temp:3, type:5
<6>[    1.460277] c0      1 [THERMAL] thermal_sys: trip_temp:-88, type:6
<6>[    1.460613] c0      1 [THERMAL] thermal_sys: thermal_zone7: Current temperature (50 C)
<6>[    1.460643] c0      1 [THERMAL] thermal_sys: trip_temp:-90, type:3
<6>[    1.460674] c0      1 [THERMAL] thermal_sys: trip_temp:177, type:4
<6>[    1.460705] c0      1 [THERMAL] thermal_sys: trip_temp:6, type:5
<6>[    1.460705] c0      1 [THERMAL] thermal_sys: trip_temp:-90, type:6
<6>[    1.461040] c0      1 [THERMAL] thermal_sys: thermal_zone8: Current temperature (45 C)
<6>[    1.461071] c0      1 [THERMAL] thermal_sys: trip_temp:-82, type:3
<6>[    1.461101] c0      1 [THERMAL] thermal_sys: trip_temp:170, type:4
<6>[    1.461132] c0      1 [THERMAL] thermal_sys: trip_temp:8, type:5
<6>[    1.461162] c0      1 [THERMAL] thermal_sys: trip_temp:-82, type:6
<6>[    1.461498] c0      1 [THERMAL] thermal_sys: thermal_zone9: Current temperature (43 C)
<6>[    1.461529] c0      1 [THERMAL] thermal_sys: trip_temp:-79, type:3
<6>[    1.461559] c0      1 [THERMAL] thermal_sys: trip_temp:188, type:4
<6>[    1.461590] c0      1 [THERMAL] thermal_sys: trip_temp:17, type:5
<6>[    1.461620] c0      1 [THERMAL] thermal_sys: trip_temp:-79, type:6
<6>[    1.461956] c0      1 [THERMAL] thermal_sys: thermal_zone10: Current temperature (42 C)
<6>[    1.461986] c0      1 [THERMAL] thermal_sys: trip_temp:-73, type:3
<6>[    1.462017] c0      1 [THERMAL] thermal_sys: trip_temp:179, type:4
<6>[    1.462047] c0      1 [THERMAL] thermal_sys: trip_temp:18, type:5
<6>[    1.462078] c0      1 [THERMAL] thermal_sys: trip_temp:-73, type:6
<6>[    1.471051] c0     27 usb 1-1: New USB device found, idVendor=05c6, idProduct=9008
<6>[    1.471081] c0     27 usb 1-1: New USB device strings: Mfr=1, Product=2, SerialNumber=0
<6>[    1.471112] c0     27 usb 1-1: Product: QHSUSB__BULK
<6>[    1.471112] c0     27 usb 1-1: Manufacturer: Qualcomm CDMA Technologies MSM
<6>[    1.479047] c0     27 usb 1-1: adding 1-1:1.0 (config #1, interface 0)
<6>[    1.479414] c0     27 qcserial 1-1:1.0: Qualcomm USB modem converter detected
<6>[    1.479475] c0     27 [WWAN_POOL] init wwan_in_buf_list:c1026f30
<6>[    1.479505] c0     27 [WWAN_POOL] init wwan_out_buf_list:c1026f38
<6>[    1.479536] c0     27 [WWAN_POOL] htc_get_wwan_buffer(97): list c1026f30 empty
<6>[    1.479566] c0     27 [WWAN_POOL] alloc in_buffer:de780000 size:16384
<6>[    1.479597] c0     27 [WWAN_POOL] htc_get_wwan_buffer(97): list c1026f30 empty
<6>[    1.479627] c0     27 [WWAN_POOL] alloc in_buffer:de784000 size:16384
<6>[    1.479627] c0     27 [WWAN_POOL] htc_get_wwan_buffer(97): list c1026f30 empty
<6>[    1.479658] c0     27 [WWAN_POOL] alloc in_buffer:de788000 size:16384
<6>[    1.479688] c0     27 [WWAN_POOL] htc_get_wwan_buffer(97): list c1026f30 empty
<6>[    1.479719] c0     27 [WWAN_POOL] alloc in_buffer:de78c000 size:16384
<6>[    1.479749] c0     27 [WWAN_POOL] htc_get_wwan_buffer(97): list c1026f30 empty
<6>[    1.479780] c0     27 [WWAN_POOL] alloc in_buffer:de790000 size:16384
<6>[    1.479810] c0     27 [WWAN_POOL] htc_get_wwan_buffer(97): list c1026f38 empty
<6>[    1.479841] c0     27 [WWAN_POOL] alloc out_buffer:de7a0000 size:65536
<6>[    1.479871] c0     27 [WWAN_POOL] htc_get_wwan_buffer(97): list c1026f38 empty
<6>[    1.479902] c0     27 [WWAN_POOL] alloc out_buffer:de7b0000 size:65536
<6>[    1.479932] c0     27 [WWAN_POOL] htc_get_wwan_buffer(97): list c1026f38 empty
<6>[    1.479963] c0     27 [WWAN_POOL] alloc out_buffer:de7c0000 size:65536
<6>[    1.479963] c0     27 [WWAN_POOL] htc_get_wwan_buffer(97): list c1026f38 empty
<6>[    1.480024] c0     27 [WWAN_POOL] alloc out_buffer:de7d0000 size:65536
<6>[    1.480024] c0     27 [WWAN_POOL] htc_get_wwan_buffer(97): list c1026f38 empty
<6>[    1.480054] c0     27 [WWAN_POOL] alloc out_buffer:de7e0000 size:65536
<6>[    1.480390] c0     27 usb 1-1: Qualcomm USB modem converter now attached to ttyUSB0
<6>[    1.480421] c0     27 qcserial 1-1:1.0: usb_probe_interface[328] needs_remote_wakeup:1
<6>[    1.480909] c0     27 mdm_hsic_usb_device_add_handler(753) USB device added 2 <Qualcomm CDMA Technologies MSM QHSUSB__BULK>
<6>[    1.480940] c0     27 usb 1-1: udev(1-1)->enable_pm_debug=[0]
<6>[    1.482588] c0      1 [THERMAL] thermal_sys: thermal_zone11: Current temperature (36 C)
<6>[    1.482618] c0      1 [THERMAL] thermal_sys: trip_temp:145, type:3
<6>[    1.482649] c0      1 [THERMAL] thermal_sys: trip_temp:125, type:2
<6>[    1.482679] c0      1 [THERMAL] thermal_sys: trip_temp:105, type:2
<6>[    1.483961] c0      1 [THERMAL] thermal_sys: thermal_zone11: Current temperature (36 C)
<6>[    1.483992] c0      1 [THERMAL] thermal_sys: trip_temp:145, type:3
<6>[    1.484022] c0      1 [THERMAL] thermal_sys: trip_temp:125, type:2
<6>[    1.484053] c0      1 [THERMAL] thermal_sys: trip_temp:105, type:2
<6>[    1.484358] c0      1 pm8xxx_tm_probe: OK
<6>[    1.485548] c0      1 device-mapper: ioctl: 4.22.0-ioctl (2011-10-19) initialised: dm-devel@redhat.com
<6>[    1.485609] c0      1 cpuidle: using governor ladder
<6>[    1.485640] c0      1 cpuidle: using governor menu
<6>[    1.486281] c0      1 mmc0: SDCC Version: 0x06000018
<6>[    1.488051] c0      1 mmc0: bam physical base=0x12402000
<6>[    1.488081] c0      1 mmc0: bam virtual base=0xe6378000
<6>[    1.488112] c0      1 sps:BAM 0x12402000 is registered.
<6>[    1.488142] c0      1 mmc0: BAM device registered. bam_handle=0xde794c00
<6>[    1.488325] c0      1 sps:REVISION of BAM 0xe6378000 is 0x5.
<6>[    1.488783] c0      1 mmc0: Qualcomm MSM SDCC-BAM at 0x0000000012402000 irq 130
<6>[    1.488844] c0      1 mmc0: Qualcomm MSM SDCC-DML at 0x0000000012400800
<6>[    1.488875] c0      1 mmc0: hard_reset
<3>[    1.488966] c0      1 mmc0: No card detect facilities available
<6>[    1.491133] c0      1 mmc0: Qualcomm MSM SDCC-core at 0x0000000012400000 irq 136,0 dma -1 dmacrcri -1
<6>[    1.491164] c0      1 mmc0: Controller capabilities: 0x0000039a
<6>[    1.491194] c0      1 mmc0: Platform slot type: MMC
<6>[    1.491194] c0      1 mmc0: 8 bit data mode enabled
<6>[    1.491225] c0      1 mmc0: 4 bit data mode disabled
<6>[    1.491255] c0      1 mmc0: polling status mode disabled
<6>[    1.491286] c0      1 mmc0: MMC clock 400000 -> 96000000 Hz, PCLK 0 Hz
<6>[    1.491286] c0      1 mmc0: Slot eject status = 0
<6>[    1.491316] c0      1 mmc0: Power save feature enable = 1
<6>[    1.491347] c0      1 mmc0: SPS-BAM data transfer mode available
<6>[    1.491805] c0      1 mmc1: SDCC Version: 0x06000018
<6>[    1.504288] c0      1 Enabling: mmc1 SD slot power
<6>[    1.515977] c0      1 Disabling: mmc1 SD slot power
<6>[    1.516160] c1     62 sps:REVISION of BAM 0xe6378000 is 0x5.
<6>[    1.516496] c0      1 mmc1: bam physical base=0x12182000
<6>[    1.516526] c0      1 mmc1: bam virtual base=0xe63ec000
<6>[    1.516587] c0      1 sps:BAM 0x12182000 is registered.
<6>[    1.516618] c0      1 mmc1: BAM device registered. bam_handle=0xde795200
<6>[    1.516801] c0      1 sps:REVISION of BAM 0xe63ec000 is 0x5.
<6>[    1.522264] c0      1 mmc1: Qualcomm MSM SDCC-BAM at 0x0000000012182000 irq 128
<6>[    1.522356] c0      1 mmc1: Qualcomm MSM SDCC-DML at 0x0000000012180800
<6>[    1.529192] c0      1 mmc1: Qualcomm MSM SDCC-core at 0x0000000012180000 irq 134,669 dma -1 dmacrcri -1
<6>[    1.529223] c0      1 mmc1: Controller capabilities: 0x0000039e
<6>[    1.529253] c0      1 mmc1: Platform slot type: SD
<6>[    1.529284] c0      1 mmc1: 8 bit data mode disabled
<6>[    1.529284] c0      1 mmc1: 4 bit data mode enabled
<6>[    1.529314] c0      1 mmc1: polling status mode disabled
<6>[    1.529345] c0      1 mmc1: MMC clock 400000 -> 192000000 Hz, PCLK 0 Hz
<6>[    1.529345] c0      1 mmc1: Slot eject status = 1
<6>[    1.529375] c0      1 mmc1: Power save feature enable = 1
<6>[    1.529406] c0      1 mmc1: SD detect pin de-bounce time = 50 ms
<6>[    1.529436] c0      1 mmc1: SPS-BAM data transfer mode available
<6>[    1.529711] c0      1 [FLT]TPS tps61310 Led Flash driver: init
<6>[    1.529833] c0      1 [FLT]TPS tps61310_probe +
<7>[    1.530169] c0      1 Registered led device: flashlight
<6>[    1.530383] c0      1 [FLT]TPS Flashlight with 1.5A
<6>[    1.530871] c0      1 [FLT]TPS tps61310_probe no reset pin
<6>[    1.530901] c0      1 [FLT]TPS tps61310_probe power save pin exist
<6>[    1.530932] c0      1 [FLT]TPS tps61310_probe power save pin_2 exist
<6>[    1.530962] c0      1 [FLT]TPS tps61310_probe -
<4>[    1.531054] c0      1 i2c-core: driver [TPS61310_FLASHLIGHT] using legacy suspend method
<4>[    1.531084] c0      1 i2c-core: driver [TPS61310_FLASHLIGHT] using legacy resume method
<6>[    1.547321] c0      1 usbcore: registered new interface driver usbhid
<6>[    1.552418] c0      1 usbhid: USB HID core driver
<6>[    1.563589] c0      1 ashmem: initialized
<6>[    1.568960] c0      1 logger: created 256K log 'log_main'
<6>[    1.574179] c0      1 logger: created 256K log 'log_events'
<6>[    1.574332] c0      1 logger: created 256K log 'log_radio'
<3>[    1.579520] c1     62 mmc0: ACMD 41 init process fail : resp : 0x0
<6>[    1.579581] c0      1 logger: created 256K log 'log_system'
<6>[    1.579734] c0      1 logger: created 256K log 'log_user'
<6>[    1.580741] c0      1 usbcore: registered new interface driver snd-usb-audio
<3>[    1.582572] c0      1 [AUD] snd_soc_wcd9310: tabla_probe
<6>[    1.583610] c0      1 ion_client_create: create ion_client (voip_client) at de770540
<6>[    1.584861] c0      1 [AUD] msm_pcm_voip: msm_pcm_probe: dev name msm-voip-dsp
<6>[    1.585350] c0      1 msm-dai-q6-mi2s msm-dai-q6-mi2s: msm_dai_q6_mi2s_platform_data_validation: playback sdline 1 capture sdline 4
<6>[    1.585411] c0      1 msm-dai-q6-mi2s msm-dai-q6-mi2s: msm_dai_q6_mi2s_platform_data_validation: playback ch_max 2 capture ch_mx 2
<6>[    1.586845] c0      1 [AUD] snd_soc_qdsp6: msm_pcm_probe: dev name msm-pcm-dsp
<6>[    1.587334] c0      1 msm_pcm_probe: dev name msm-multi-ch-pcm-dsp
<6>[    1.588554] c0      1 [AUD] snd_soc_qdsp6: msm_compr_probe: dev name msm-compr-dsp
<6>[    1.589287] c0      1 msm-pcm-lpa msm-pcm-lpa: msm_pcm_probe: dev name msm-pcm-lpa
<3>[    1.590752] c0      1 msm_audio_init: Not the right machine type
<4>[    1.607874] c1     62 mmc0: BKOPS already enabled
<6>[    1.607904] c1     62 mmc0: cid 45010053454d313647c5433241495094
<6>[    1.607935] c1     62 mmc0: csd d00f00320f5903ffffffffff8a40407e
<6>[    1.607965] c1     62 mmc0: ext_csd 000000000000000101013f3f01030305
<6>[    1.607996] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608026] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608057] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608118] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608148] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608179] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608209] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608240] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608271] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608301] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608332] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608362] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608393] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608423] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608454] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608484] c1     62 mmc0: ext_csd 00000000000000196400000001000a00
<6>[    1.608515] c1     62 mmc0: ext_csd 440000000000000e5544440700200804
<6>[    1.608545] c1     62 mmc0: ext_csd 0e0110080700130001d5a000000a0a0a
<6>[    1.608576] c1     62 mmc0: ext_csd 0a0a0a00444400000319010700020006
<6>[    1.608606] c1     62 mmc0: ext_csd 00000000040000000000000000000000
<6>[    1.608667] c1     62 mmc0: ext_csd 00000000000000201f05000001010001
